total,interest_rate,expectations,output_wage
-0.0394927044543624,0.0147454325962469,-0.0651408769030789,0.0109027398524696
-0.0475102338640436,0.00263822184491984,-0.0537559853708392,0.00360752966187575
-0.0473392550919511,-0.000462667786447836,-0.0438552647016212,-0.00302132260388206
-0.0445836499433525,-0.000988696871555618,-0.0362829295505152,-0.0073120235212816
-0.0408212022797533,-0.000868497693032575,-0.0304277663991764,-0.0095249381875444
-0.0366484165576226,-0.000643801712571829,-0.0257670449447479,-0.0102375699003029
-0.0323770102810516,-0.000446260092064424,-0.0219721060052346,-0.00995864418375256
-0.0282020501576494,-0.000294920165511853,-0.018836357931993,-0.00907077206014463
-0.0242503824696679,-0.000182676439828535,-0.0162208302210969,-0.00784687580874256
-0.0206008564359111,-9.93170945785633e-05,-0.0140255488488837,-0.0064759904924488
-0.0172967875744231,-3.65339358836241e-05,-0.0121751434440182,-0.00508511019452129
-0.0143552957350526,1.16915892481856e-05,-0.0106111246418781,-0.00375586268242268
-0.0117746809915577,4.96118320846935e-05,-0.00928727865002968,-0.00253701417361274
-0.00954025520414932,8.02428006242126e-05,-0.00816664132447526,-0.00145385668029827
-0.00762888727319254,0.000105749745824147,-0.00721937321078494,-0.000515263808231744
-0.0060124773395388,0.000127707451881369,-0.00642120765358103,0.000281022862160868
-0.00466055143645148,0.000147274825423897,-0.00575229179844979,0.000944465536574416
-0.00354214554917407,0.000165313985147341,-0.00519630889264381,0.00148884935832241
-0.00262712510539157,0.000182473281966253,-0.0047398068057175,0.00193020841835967
-0.00188706360492501,0.000199246297223138,-0.0043716798315803,0.00228536992943215
-0.00129578334603224,0.000216014384991728,-0.00408276553160854,0.00257096780058457
-0.000829642563756439,0.000233077665976629,-0.0038655286457581,0.00280280841602503
-0.000467636981724469,0.000250677771506535,-0.00371381145457024,0.00299549670133923
-0.000191369796338578,0.000269014623479877,-0.00362263531062417,0.00316225089080571
1.50676638986418e-05,0.000288258870910559,-0.00358804195364484,0.00331485074663292
0.000165272126827828,0.00030856115012816,-0.0036069660803719,0.00346367705707157
0.000270736918894872,0.000330059017546248,-0.00367713274382509,0.00361781064517371
0.000341074803809884,0.000352882176406648,-0.00379697471177129,0.00378516733917453
0.000384242177594965,0.000377156454196074,-0.00396556606929585,0.00397265179269474
0.000406755690433869,0.000403006867255913,-0.004182569213405,0.00418631803658295
0.000413895459522786,0.000430560021039058,-0.0044481930357954,0.00443152847427913
0.000409891381752682,0.000459946029767398,-0.00476316058117345,0.00471310593315873
0.000398090795276077,0.000491300091641866,-0.00512868484311822,0.00503547554675243
0.000381106998858647,0.000524763820720958,-0.00554645164834219,0.00540279482647988
0.000360949018327088,0.000560486410799799,-0.0060186088051292,0.00581907141265649
0.000339133599113494,0.000598625687651551,-0.00654776086882166,0.0062882687802836
0.000316780768813884,0.000639349092050643,-0.00713696901862138,0.00681440069538462
0.000294694513834664,0.000682834625773305,-0.00778975565432422,0.00740161554238558
0.000273430191494942,0.000729271785285523,-0.00851011341548306,0.00805427182169248
0.000253350291091105,0.00077886250236578,-0.00930251840384491,0.00877700619257024
0.00023467009044056,0.00083182210696238,-0.0101719474562351,0.00957479543971323
0.000217494650179616,0.000888380324727257,-0.0111238993724492,0.0104530136979015
0.000201848461811115,0.00094878231965821,-0.0121644200528743,0.0114174861950272
0.000187698929890414,0.00101328979086799,-0.0133001315455517,0.0124745406845741
0.000174974729915429,0.00108218213155392,-0.0145382650432402,0.0136310576416017
0.000163579950955787,0.00115575765763768,-0.0158866979086957,0.0148945202020138
0.000153404804858676,0.00123433491320538,-0.0173539948421066,0.0162730647337599
0.000144333568777255,0.00131825405973284,-0.0189494533385029,0.0177755328475473
0.000136250322630477,0.00140787835609427,-0.0206831536158258,0.0194115255823621
0.000129042951109673,0.0015035957364873,-0.0225660132270135,0.0211914604416359
0.000122605797321445,0.00160582049364103,-0.0246098466016364,0.0231266319053168
0.000116841285588804,0.00171499507498783,-0.0268274297950163,0.0252292760056173
0.000111660770611873,0.00183159199986425,-0.0292325707563377,0.0275126395270854
0.00010698481850298,0.00195611590625301,-0.0318401854608402,0.0299910543730902
0.000102743083332439,0.00208910573608721,-0.0346663802865216,0.0326800176337669
9.88739067496249e-05,0.00223113706868921,-0.037728541052642,0.0355962778907024
9.53237390764588e-05,0.00238282461252691,-0.0410454291751757,0.0387579283017252
9.20464564049409e-05,0.00254482486614382,-0.0446372854353192,0.0421845070255803
8.90026299465548e-05,0.00271783895981442,-0.0485259418990265,0.0458971055691587
8.61587865885481e-05,0.00290261569027666,-0.0527349425712247,0.0499184856675366
8.34866907406988e-05,0.00309995476167494,-0.057289673415882,0.0542732053449478
8.09626643295106e-05,0.00331071024678464,-0.0622175024241378,0.0589877548416826
7.85669584534249e-05,0.00353579428349938,-0.0675479304670092,0.0640907031419632
7.62831818155457e-05,0.00377618102258844,-0.0733127537270528,0.0696128558862799
7.40977890477829e-05,0.00403291084382305,-0.0795462385656322,0.0755874255108569
7.19996284108305e-05,0.00430709485872352,-0.0862853097482067,0.082050214517894
6.99795461208068e-05,0.00459991971941099,-0.093569753021727,0.0890398128484369
6.80300440670802e-05,0.00491265275439888,-0.101442433113657,0.0965978104033247
6.61449856772648e-05,0.00524664745352143,-0.109949528304234,0.10476902583639
6.4319348115494e-05,0.0056033493257784,-0.119140782810867,0.113601752833204
6.25490097401863e-05,0.00598430215541388,-0.129069778317102,0.123148025171428
6.08305759475993e-05,0.00639115468333359,-0.139794226080407,0.133463901973021
5.91612335788597e-05,0.0068256677427574,-0.151376281159569,0.14460977465039
5.75386302581109e-05,0.00728972188000487,-0.163882880420595,0.156650697170848
5.59607761615947e-05,0.00778532549338948,-0.177386106102826,0.169656741385598
