total,interest_rate,output_wage,expectations,expectations_output_wage
-0.0394927044543624,0.0147454325962469,0.0109027398524696,-0.0856757081730624,0.0205348312699835
-0.0475102338640436,0.00263822184491983,0.0128484234016329,-0.0728629294926238,0.00986605038202743
-0.0473392550919511,-0.000462667786447836,0.0122297110510645,-0.0604930878874732,0.00138678953090542
-0.0445836499433524,-0.000988696871555621,0.0106785522402347,-0.0505736368184875,-0.00369986849354396
-0.040821202279753,-0.000868497693032575,0.00896772096618523,-0.0424520924593305,-0.0064683330935752
-0.0366484165576223,-0.000643801712571835,0.00735907545476791,-0.0355396478859384,-0.00782404241388
-0.0323770102810514,-0.00044626009206443,0.00591359254410322,-0.0294857297728874,-0.00835861296020283
-0.0282020501576489,-0.00029492016551185,0.00462904570478543,-0.0240779058992609,-0.00845826979766156
-0.0242503824696668,-0.000182676439828532,0.00348857794763027,-0.019172883012932,-0.00838340096453652
-0.0206008564359102,-9.93170945785666e-05,0.00247497196065235,-0.0146640425923642,-0.00831246870961974
-0.0172967875744224,-3.65339358836241e-05,0.00157371727248461,-0.0104669498708719,-0.00836702104015156
-0.0143552957350515,1.1691589248176e-05,0.000772999481277348,-0.00651237251268308,-0.0086276142928939
-0.0117746809915575,4.96118320846785e-05,6.30997307575377e-05,-0.00274239911774216,-0.00914499343665754
-0.00954025520414862,8.02428006242102e-05,-0.000564161026789483,0.000892049884461233,-0.00994838686244458
-0.00762888727319166,0.000105749745824161,-0.00111583222128102,0.00443298435758151,-0.0110517891553163
-0.00601247733953584,0.000127707451881409,-0.00159812145060377,0.00791666234077556,-0.012458725681589
-0.00466055143644857,0.000147274825423887,-0.00201659644691549,0.0113746036870744,-0.0141658335020314
